,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,5681.0,2.795858757261055,1.9281994040684085,0.0,1.2,2.5,4.014400000000002,10.703599999999998,5681.0,2.2644511881711087,1.6117066613844846,0.0,0.9590000000000032,2.0,3.3,13.2,5681.0,1.19004999119874,0.8741625791235202,0.0,0.5,1.0036000000000023,1.703600000000005,9.896400000000003,5681.0,0.9049649709558185,0.7048468360779495,0.0,0.30000000000000426,0.8000000000000007,1.3000000000000007,9.399999999999999
Asia,6306.0,1.3773378369806806,1.3582960352240663,0.0,0.4036000000000002,1.0,1.8999999999999986,25.8,6306.0,1.0475957817951245,1.0600441822079263,0.0,0.3000000000000007,0.7999999999999998,1.4000000000000004,25.099999999999998,6306.0,0.7170634189660612,0.6389103393867746,0.0,0.20000000000000284,0.5999999999999979,1.0,10.099999999999998,6306.0,0.5582926419283177,0.5158389037387513,0.0,0.1999999999999993,0.40000000000000213,0.8000000000000007,9.299999999999997
Africa,1675.0,1.2336372537313367,1.1630062250150421,0.0,0.3000000000000007,0.8999999999999986,1.9,9.196399999999999,1675.0,0.9319391044776095,0.8711269564800748,0.0,0.20000000000000107,0.6999999999999993,1.3295000000000003,8.741,1675.0,0.7690111044776118,0.6842663605864732,0.0,0.20000000000000284,0.6000000000000014,1.1000000000000014,5.799999999999997,1675.0,0.619423283582093,0.5524923635340175,0.0,0.20000000000000284,0.5,0.8999999999999986,5.199999999999996
special,11.0,1.8922909090909095,1.5820671853335089,0.0,0.7518,1.0999999999999996,3.0500000000000003,4.49,11.0,1.659909090909091,1.2869732285129674,0.09999999999999987,0.45000000000000007,2.0,2.0795,3.9999999999999996,11.0,1.0021454545454531,1.0956770658945416,0.10000000000000142,0.19999999999999574,0.6999999999999957,1.2018000000000004,3.6199999999999974,11.0,0.8218181818181808,0.833328484834379,0.10000000000000142,0.3000000000000007,0.5999999999999979,0.7999999999999972,2.4399999999999977
North America,12656.0,3.1885541750947377,3.5575517583680107,0.0,0.9000000000000004,1.9999999999999996,3.7,26.363999999999997,12656.0,2.576459781921583,2.8673521359229257,0.0,0.7000000000000028,1.5590000000000006,3.059000000000001,20.400000000000002,12656.0,1.321693435524677,1.481154578155542,0.0,0.30000000000000426,0.8000000000000007,1.6000000000000014,36.7,12656.0,1.0060286425411191,1.1230500196672342,0.0,0.29999999999999716,0.6000000000000014,1.2000000000000028,36.94099999999998
South America,967.0,0.9903627714581232,1.1077636618602718,0.0,0.20360000000000045,0.7999999999999998,1.2018000000000013,11.7,967.0,0.7811116856256496,0.8612189204385072,0.0,0.20000000000000012,0.6000000000000001,1.0,8.5,967.0,0.6799478800413677,0.6104433382776586,0.0,0.20000000000000284,0.5963999999999885,1.0,5.100000000000001,967.0,0.5353598759048617,0.5199718685287396,0.0,0.10900000000001597,0.3999999999999986,0.8000000000000007,4.200000000000003
Oceania,3037.0,0.783771880144873,0.914264554267829,0.0,0.20000000000000107,0.5,0.9963999999999995,13.069999999999999,3037.0,0.621790055976286,0.7398495624556509,0.0,0.1999999999999993,0.3999999999999999,0.7999999999999989,10.979999999999999,3037.0,0.6829632400395094,0.6613988073660912,0.0,0.20000000000000284,0.5,1.0,7.3964,3037.0,0.5265009878169241,0.5406995395724697,0.0,0.19999999999999574,0.3999999999999986,0.7000000000000028,7.65900000000001
other,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
