,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,1974.0,2.4533428571428564,1.824617126935363,0.0,0.9937000000000005,2.0999999999999996,3.6036000000000015,9.3036,1974.0,1.9260663627153018,1.482748997337775,0.0,0.7590000000000003,1.6000000000000014,2.859,8.399999999999999,1974.0,1.2937219858156022,0.8759817192505399,0.0,0.6000000000000014,1.1999999999999993,1.8999999999999986,5.4,1974.0,1.0141200607902756,0.7080009924029684,0.0,0.4409999999999812,0.9000000000000004,1.5,4.699999999999999
Asia,2059.0,1.26570879067508,1.3721541977085012,0.0,0.3999999999999999,0.8999999999999999,1.6999999999999997,25.8,2059.0,0.9710087421078183,1.0838080911967585,0.0,0.29999999999999993,0.7,1.299999999999999,25.099999999999998,2059.0,0.8771782418649804,0.7085576068384049,0.0,0.30000000000000426,0.7711999999999541,1.2000000000000028,4.5,2059.0,0.709188440990767,0.5870085115698365,0.0,0.25900000000002166,0.6000000000000014,1.0,4.5
Africa,568.0,1.1542042253521139,1.1258559028828639,0.0,0.3000000000000007,0.8000000000000007,1.7,9.196399999999999,568.0,0.8772271126760575,0.8462003212019195,0.0,0.2544999999999995,0.6999999999999993,1.2000000000000002,8.741,568.0,0.9100218309859166,0.7580997220137171,0.0,0.3000000000000007,0.7036000000000087,1.2036000000000024,5.799999999999997,568.0,0.749565140845072,0.6104661959100074,0.0,0.3000000000000007,0.6000000000000014,1.1000000000000014,5.100000000000001
special,3.0,1.4000000000000001,1.081665382639197,0.5000000000000001,0.7999999999999998,1.0999999999999996,1.85,2.6000000000000005,3.0,1.2666666666666666,1.021436896402971,0.09999999999999987,0.9,1.7000000000000002,1.85,2.0,3.0,1.333333333333331,0.8504900548115382,0.6999999999999957,0.8499999999999979,1.0,1.6499999999999986,2.299999999999997,3.0,1.1999999999999982,1.0583005244258366,0.3999999999999986,0.5999999999999979,0.7999999999999972,1.5999999999999979,2.3999999999999986
North America,2962.0,1.7753039837947344,1.6285651873413385,0.0,0.6999999999999993,1.4036000000000004,2.4000000000000004,26.363999999999997,2962.0,1.4358825118163387,1.3809580531588501,0.0,0.5000000000000002,1.1,1.9589999999999996,20.400000000000002,2962.0,0.8412791357191002,0.7072973239128215,0.0,0.3000000000000007,0.7000000000000028,1.1999999999999993,9.703600000000005,2962.0,0.6550621201890597,0.591347065975911,0.0,0.20000000000000284,0.5,0.8999999999999999,10.600000000000001
South America,317.0,0.9633526813880114,1.1456140386165765,0.0,0.19999999999999996,0.7000000000000028,1.2,11.7,317.0,0.7690946372239749,0.8494941926938153,0.0,0.20000000000000018,0.5999999999999999,1.0,8.5,317.0,0.756426498422713,0.6006675634885377,0.0,0.20000000000000284,0.6999999999999957,1.1000000000000014,2.8999999999999986,317.0,0.6287160883280756,0.5397312107879019,0.0,0.1999999999999993,0.5,0.9590000000000174,2.8999999999999986
Oceania,941.0,0.739324123273115,0.8385661595731595,0.0,0.20000000000000018,0.5,0.9000000000000004,5.507200000000001,941.0,0.5786493092454843,0.6643670402113602,0.0,0.1999999999999993,0.3999999999999986,0.7000000000000002,4.3,941.0,0.6611430393198753,0.5834455611963217,0.0,0.20000000000000284,0.5,0.9000000000000021,3.400000000000002,941.0,0.5176014877789614,0.45254329469372284,0.0,0.1999999999999993,0.3999999999999986,0.7000000000000028,3.5999999999999943
other,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
