,WMO,WMO,WMO,WMO,WMO,WMO,WMO,WMO,WBAN,WBAN,WBAN,WBAN,WBAN,WBAN,WBAN,WBAN,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,1974.0,138748.0273556231,91174.10211871489,10010.0,28815.0,133763.0,222160.0,299740.0,1974.0,99965.21529888551,1501.0448034706872,33308.0,99999.0,99999.0,99999.0,99999.0,1974.0,-1.9497619047619055,2.35534948169267,-9.3036,-3.5062999999999995,-1.8999999999999995,-0.4000000000000057,7.600000000000001,1974.0,-1.4640612968591733,1.9405140006483206,-8.399999999999999,-2.789749999999998,-1.359,-0.1999999999999993,6.700000000000003,1974.0,1.0807080040526882,1.1284445547721373,-5.4,0.30360000000000653,1.1000000000000014,1.8999999999999986,4.799999999999997,1974.0,0.8415506585613006,0.9064544661237341,-4.699999999999999,0.20000000000000284,0.8999999999999986,1.4000000000000021,4.099999999999998
Asia,2081.0,387317.7895242672,161878.39435456324,30010.0,335870.0,425870.0,484210.0,599850.0,2081.0,99537.09899086978,5283.451225998435,16201.0,99999.0,99999.0,99999.0,99999.0,2059.0,-0.7883555123846555,1.6922759560919813,-8.2036,-1.5,-0.6000000000000014,0.09639999999999915,25.8,2059.0,-0.5340043710539099,1.3537565764566544,-6.399999999999999,-1.0999999999999996,-0.40000000000000213,0.10000000000000053,25.099999999999998,2059.0,0.7413433705682407,0.8497131192083693,-3.5999999999999996,0.20000000000000284,0.7000000000000028,1.2000000000000028,4.5,2059.0,0.6027727051966986,0.6958880245236444,-2.6999999999999993,0.15900000000001313,0.5590000000000117,1.0,4.5
Africa,572.0,431415.06293706293,278902.796408095,60090.0,66352.5,607425.0,650127.5,689940.0,572.0,99947.77972027972,1225.010920459405,70701.0,99999.0,99999.0,99999.0,99999.0,568.0,-0.7171366197183094,1.4446094577040622,-5.703600000000001,-1.4999999999999996,-0.5,0.10000000000000142,9.196399999999999,568.0,-0.4936073943661971,1.1148370318094607,-3.8000000000000003,-1.1147500000000006,-0.3000000000000007,0.1999999999999993,8.741,568.0,0.745073943661972,0.9209784087440799,-4.092799999999986,0.20000000000000284,0.6999999999999975,1.2000000000000028,5.799999999999997,568.0,0.641107394366199,0.723715550698374,-1.8999999999999986,0.1999999999999993,0.5590000000000188,1.0692500000000082,5.100000000000001
special,3.0,485778.0,360178.5760591543,69900.0,380025.0,690150.0,693717.0,697284.0,3.0,97706.33333333333,3971.015151486246,93121.0,96560.0,99999.0,99999.0,99999.0,3.0,-0.33333333333333365,1.985782801147531,-2.6000000000000005,-1.0500000000000003,0.5000000000000001,0.7999999999999998,1.0999999999999996,3.0,-0.06666666666666665,1.8556220879622374,-2.0,-0.95,0.09999999999999987,0.9,1.7000000000000002,3.0,1.333333333333331,0.8504900548115382,0.6999999999999957,0.8499999999999979,1.0,1.6499999999999986,2.299999999999997,3.0,1.1999999999999982,1.0583005244258366,0.3999999999999986,0.5999999999999979,0.7999999999999972,1.5999999999999979,2.3999999999999986
North America,2963.0,684821.2534593318,155107.9205710288,70020.0,715285.0,722348.0,725455.0,789900.0,2963.0,57963.14512318596,40841.99624267867,102.0,13976.5,54937.0,99999.0,99999.0,2962.0,-1.0165174881836603,2.184338900739551,-16.0,-2.1999999999999993,-1.1,0.0,26.363999999999997,2962.0,-0.7737413909520594,1.835925409722852,-14.8,-1.7000000000000002,-0.8000000000000007,0.09999999999999964,20.400000000000002,2962.0,0.5911916272788674,0.9266248084458322,-5.0000000000000036,0.0072000000000116415,0.6000000000000014,1.1000000000000014,9.703600000000005,2962.0,0.4328467251856867,0.7691053835380641,-4.199999999999999,0.0,0.3999999999999986,0.8999999999999986,10.600000000000001
South America,321.0,669006.261682243,335704.74004749523,80010.0,800220.0,846280.0,875340.0,898790.0,321.0,99415.17133956387,6978.631398682415,10502.0,99999.0,99999.0,99999.0,99999.0,317.0,-0.45779558359621464,1.4258950740262526,-11.7,-1.0036,-0.20000000000000018,0.1999999999999993,4.596400000000001,317.0,-0.35130283911671945,1.091427765006045,-8.5,-0.8000000000000007,-0.25900000000000034,0.19999999999999996,3.900000000000002,317.0,0.6432252365930617,0.7209336059383175,-1.2963999999999913,0.10360000000000724,0.6000000000000014,1.1000000000000014,2.8999999999999986,317.0,0.5228864353312314,0.6430934237101278,-1.7999999999999972,0.10000000000000142,0.40000000000000036,0.9000000000000057,2.8999999999999986
Oceania,942.0,957402.4628450106,23052.005810505227,910660.0,944292.5,952045.0,970935.0,998235.0,942.0,98007.15392781317,11928.634826558156,487.0,99999.0,99999.0,99999.0,99999.0,941.0,-0.49084718384697146,1.0045832894020206,-5.507200000000001,-0.8000000000000007,-0.3035999999999994,0.0,3.4963999999999995,941.0,-0.39879383634431465,0.7857283773564773,-4.3,-0.6000000000000014,-0.25900000000000034,0.0,2.440999999999999,941.0,0.42097215727949194,0.774969525571415,-3.0,0.003600000000002268,0.3999999999999986,0.8000000000000007,3.400000000000002,941.0,0.3369341126461244,0.5994550680684606,-2.3999999999999986,0.0,0.3000000000000007,0.6000000000000014,3.5999999999999943
other,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
